time;open;high;low;close;Volume;RSI;RSI-based MA
2026-02-26 13:25:00 ;616.59;616.61;616.5;616.52;527;59.93326051544791;56.50479250083106
2026-02-26 13:26:00 ;616.5;616.62;616.5;616.59;334;62.645159233866906;56.656280836731945
2026-02-26 13:27:00 ;616.57;616.58;616.57;616.58;11;61.99955748709465;57.04627179329065
2026-02-26 13:28:00 ;616.5;616.6;616.5;616.58;102;61.99955748709465;58.04431472644679
2026-02-26 13:29:00 ;616.6;616.68;616.6;616.68;1760;66.05653599471582;59.404736851090014
2026-02-26 13:30:00 ;616.71;616.71;616.6;616.6;3265;60.49249617915919;59.69412046154863
2026-02-26 13:31:00 ;616.63;616.65;616.51;616.51;2509;54.89089773212936;59.52186072845988
2026-02-26 13:32:00 ;616.58;616.58;616.54;616.58;416;58.13782437357954;59.48711264760123
2026-02-26 13:33:00 ;616.5;616.5;616.5;616.5;101;53.40653686357352;58.98863747577821
2026-02-26 13:34:00 ;616.54;616.63;616.54;616.62;533;58.820084447157704;59.58003421849981
2026-02-26 13:35:00 ;616.57;616.575;616.42;616.42;284;48.67034632988559;59.208266271674
2026-02-26 13:36:00 ;616.43;616.45;616.43;616.45;973;50.06232772425171;58.80467859805123
2026-02-26 13:37:00 ;616.37;616.37;616.3;616.31;460;44.05779375262525;57.484364228426124
2026-02-26 13:38:00 ;616.3;616.39;616.3;616.36;146;46.52467558900626;56.26407526497057
2026-02-26 13:39:00 ;616.38;616.43;616.35;616.43;546;49.858327802162904;55.54443721402164
2026-02-26 13:40:00 ;616.46;616.5;616.46;616.46;206;51.26067097932951;54.73125948155468
2026-02-26 13:41:00 ;616.42;616.42;616.41;616.41;401;48.8104688937672;53.789181724888444
2026-02-26 13:42:00 ;616.54;616.76;616.54;616.76;174;62.369767927480545;53.81562532777315
2026-02-26 13:43:00 ;616.75;616.75;616.67;616.67;651;58.10743891668958;53.2478326793427
2026-02-26 13:44:00 ;616.68;616.74;616.68;616.73;91;60.066739369785786;53.21742147867318
2026-02-26 13:45:00 ;616.46;616.46;616.46;616.46;100;48.967999209576696;52.794357298490844
2026-02-26 13:46:00 ;616.49;616.51;616.44;616.51;226;50.7816658317077;52.26891740264285
2026-02-26 13:47:00 ;616.47;616.47;616.41;616.47;230;49.27298150966624;51.97366344879233
2026-02-26 13:48:00 ;616.54;616.56;616.51;616.53;112;51.595979390361755;51.45765594473547
2026-02-26 13:49:00 ;616.56;616.57;616.51;616.51;2325;50.76151562017475;51.607025179756135
2026-02-26 13:50:00 ;616.48;616.48;616.46;616.46;1105;48.64344403853792;51.50567634506229
2026-02-26 13:51:00 ;616.55;616.59;616.44;616.47;1160;49.10088073254051;51.865896843627674
2026-02-26 13:52:00 ;616.46;616.46;616.4;616.4;256;46.01141474724557;51.82923535493047
2026-02-26 13:53:00 ;616.37;616.47;616.37;616.47;978;49.43756791800525;51.799181077490644
