time;open;high;low;close;Volume;RSI;RSI-based MA
2022-02-10;15597.06;15614.47;15413.37;15490.44;5073280200;48.93763884960655;43.523249269452165
2022-02-11;15353.86;15511.34;15308.69;15425.12;5264621300;47.3507955774358;44.6069606842579
2022-02-14;15065.73;15150.54;14844.1;15113.97;6268203300;40.597728403617666;44.96475949399258
2022-02-15;15077.32;15418.41;15068.33;15412.71;4597347500;48.23162965545314;45.22938048423744
2022-02-16;15431.27;15542.84;15327.94;15370.3;3631313100;47.30226741594952;45.31632875556043
2022-02-17;15404.14;15440.08;15206.4;15267.63;4278338900;45.03966517482377;45.529228596129975
2022-02-18;15278.66;15317.39;14989.05;15042.51;5001981000;40.46876812276859;45.14574552032771
2022-02-21;15186.63;15192.47;14617.66;14731.12;4360694200;35.154297877650166;44.13512589939341
2022-02-22;14365.06;14782.16;14357.86;14693;6640612400;34.556028556156704;43.09095130140728
2022-02-23;14754.22;14901.09;14586.35;14631.36;4995423100;33.56141807997628;42.35908342916353
2022-02-24;13989.41;14221.71;13807.28;14052.1;10530958400;25.99062304215026;41.44360531859196
2022-02-25;14230.09;14567.62;14027.93;14567.23;7873037000;39.1389031422271;41.26332932124337
2022-02-28;14263.73;14510.77;14106.89;14461.02;7653923600;37.65357745053808;40.90822015996961
2022-03-01;14404.22;14448.61;13904.85;13904.85;7270647000;31.01579777883876;39.64279565194233
2022-03-02;13836.93;14114.79;13707.86;14000.11;7418217300;33.188283443869366;38.51784169438967
2022-03-03;13990.25;14057.15;13669.1;13698.4;5649418400;29.96910629375992;37.27629245984139
2022-03-04;13485.98;13562.6;13094.54;13094.54;8156757900;24.786911405618383;36.14694838855573
2022-03-07;12614.08;13150.35;12438.85;12834.65;8936321800;22.94775703969904;34.34095748743043
2022-03-08;12673.89;13106.78;12672;12831.51;7914589400;22.925623967791566;32.599768669704865
2022-03-09;13215.06;13847.93;13199.68;13847.93;8702608100;42.31930250356809;32.40545705032946
2022-03-10;13819.44;13829.97;13341.79;13442.1;6660960300;38.18760750304084;32.242517006063196
2022-03-11;13479.69;13943.97;13407.97;13628.11;6386690900;41.029460959056074;32.6621715118779
2022-03-14;13827.22;14082.06;13815.8;13929.11;5422786200;45.403715953535546;33.43700632597639
2022-03-15;13768.44;13974.84;13577.81;13917.27;4844372100;45.261493629702386;34.27272600809969
2022-03-16;14245.77;14553.1;14183.26;14440.74;6804199500;52.36577643548172;36.15666553619479
2022-03-17;14500.05;14509.23;14243.94;14388.06;4761766600;51.63942409363828;37.049559889867005
2022-03-18;14374.41;14413.09;14109.79;14413.09;9051619200;51.98023975839679;38.07289291185692
2022-03-21;14385.82;14457.3;14306.26;14326.97;3529260200;50.657424948943124;39.4758662811501
2022-03-22;14365.67;14508.01;14343.34;14473.2;3938679500;52.85147254988679;40.88037978872277
